Table 1
순번,평가영역,질문 유형,모의 면접 공통 질문,
24,E. 문제해결·상황판단,혁신·개선,"지원 직무와 관련하여 개선하거나 새롭게 시도해 보고 싶은 아이디어가 있다면 설명해 보세요
지원 부서 업무나 기능 중 어떤 것을 바꿔보고 싶은지? 획기적인 아이디어가 있는지?",
25,E. 문제해결·상황판단,종합 Case·의사결정,"현재 사용 중인 방법보다 비용은 낮고 성능은 더 좋아 보이는 새로운 대안이 발견되었습니다. 다만 검증 경험이 부족합니다. 기존 방식을 유지할지 새로운 방식을 도입할지 어떻게 판단하겠습니까?
A 유지보수 업체와 계약을 체결해서 유지보수를 하고 있는데, A 업체가 사용하는 부품/제품이 외국산이라는 것을 알게 되었습니다. 국내산을 사용할 경우 원가 절감도 되고 기술 측면에서도 우수한 것 같은데 현재 유지보수 기간이 다 되어가는 상황입니다.  어떻게 하겠는지?",
26,F. 자기이해·가치관·윤리,자기이해·강점,자신의 강점은 무엇이고 그것이 해당 업무에 어떤 도움이 될지?,
27,F. 자기이해·가치관·윤리,자기이해·개선,자신의 단점은 무엇이고 앞으로 어떻게 보완해 나갈 건지?,
28,F. 자기이해·가치관·윤리,자기인식·인성,본인은 어떤 사람이라고 생각하는지?,
29,F. 자기이해·가치관·윤리,가치관·인성,본인이 생각하는 가장 중요한 가치는 무엇인지?,
30,F. 자기이해·가치관·윤리,가치관·인성,본인의 좌우명은 무엇인지?,
31,F. 자기이해·가치관·윤리,윤리·Compliance,"상사의 지시가 회사 규정이나 원칙에 어긋난다고 판단된다면 어떻게 하겠습니까?
상사의 부당한 지시가 있다면?",
32,F. 자기이해·가치관·윤리,윤리·가치판단,원칙을 지키는 것과 성과 또는 편의가 충돌했던 경험이 있습니까? 어떻게 판단했습니까?,
33,G. 성장·변화·자기관리,성장·Career Vision,"입사 후 계획은? 어떤 사람이 되고 싶은지?
입사 후 계획? 어떤 사람이 되고 싶은지?",
34,G. 성장·변화·자기관리,성장·Career Vision,"입사 후 3~5년 뒤 어떤 역량과 역할을 갖춘 구성원으로 성장하고 싶습니까?  
단기와 중장기 Career 목표를 설명해 주세요
3년, 5년, 10년 후 모습은?",
35,G. 성장·변화·자기관리,자기관리·회복탄력성,"업무 과정에서 스트레스가 누적될 경우 어떻게 관리하고 업무에 미치는 영향을 최소화하겠습니까?업무 과정에서 스트레스가 누적될 경우 어떻게 관리하고 업무에 미치는 영향을 최소화하겠습니까?
업무를 하다 보면 스트레스를 받을 수 있는데 본인만의 해결방법은?",
36,G. 성장·변화·자기관리,피드백 수용·학습민첩성,본인의 업무나 결과물에 대해 부정적인 피드백을 받은 경험이 있다면 어떻게 받아들이고 개선했습니까?,
37,G. 성장·변화·자기관리,조직적응·업무태도,"입사 후 맡게 된 업무가 본인이 기대하거나 생각했던 업무와 다르다면 어떻게 하겠습니까?
주어진 업무가 생각했던 것과 다르면?",
38,H. 산업·비즈니스·AI & 디지털,산업·Biz Domain 통찰,현재 우리 회사가 수행하는 Biz Domain과 관련해서 해결해야 할 가장 심각한 문제는 무엇인지?,
39,H. 산업·비즈니스·AI & 디지털,회사·산업 이해,"지원한 회사나 산업에서 중요하다고 생각하는 법규·규제·윤리 또는 Compliance 이슈가 있다면 설명해 보세요
우리 회사와 관련된 국내외 규제나 Compliance 요건은 무엇이 있는지?",
40,H. 산업·비즈니스·AI & 디지털,AI 활용·디지털 역량,"업무 생산성을 높이기 위해 생성형 AI를 어떻게 활용할 수 있다고 생각하며, 사용할 때 주의해야 할 점은 무엇입니까?",
41,I. 마무리,종합·마무리,마지막으로 하고 싶은 말,
